Timestamp,Open,High,Low,Close
1649754720,284.442,284.492,284.441,284.486
1649754780,284.486,284.494,284.454,284.474
1649754840,284.473,284.487,284.443,284.443
1649754900,284.445,284.445,284.401,284.401
1649754960,284.403,284.406,284.324,284.324
1649755020,284.321,284.331,284.249,284.261
1649755080,284.263,284.28,284.248,284.25
1649755140,284.244,284.265,284.21,284.227
1649755200,284.227,284.257,284.189,284.233
1649737320,284.647,284.726,284.647,284.715
1649737380,284.715,284.75,284.679,284.744
1649737440,284.74,284.752,284.724,284.734
1649737500,284.732,284.733,284.681,284.715
1649737560,284.715,284.715,284.658,284.659
1649737620,284.661,284.721,284.626,284.697
1649737680,284.693,284.7,284.653,284.681
1649737740,284.681,284.74,284.674,284.731
1649737800,284.729,284.739,284.698,284.73
1649737860,284.73,284.803,284.705,284.763
1649737920,284.763,284.767,284.659,284.666
1649737980,284.668,284.682,284.641,284.646
1649738040,284.646,284.676,284.601,284.634
1649738100,284.634,284.658,284.622,284.633
1649738160,284.636,284.647,284.543,284.589
1649738220,284.589,284.589,284.536,284.573
1649738280,284.578,284.613,284.563,284.589
1649738340,284.589,284.629,284.584,284.619
1649738400,284.616,284.66,284.604,284.66
1649738460,284.664,284.735,284.661,284.726
1649738520,284.726,284.836,284.724,284.825
1649738580,284.823,284.829,284.768,284.777
1649738640,284.778,284.78,284.754,284.768
1649738700,284.765,284.861,284.765,284.858
1649738760,284.852,284.894,284.819,284.885
1649738820,284.883,284.938,284.879,284.897
1649738880,284.897,284.936,284.875,284.927
1649738940,284.925,284.925,284.862,284.913
1649739000,284.913,284.982,284.913,284.962
1649739060,284.96,284.97,284.91,284.91
1649739120,284.91,284.913,284.853,284.88
1649739180,284.882,284.929,284.87,284.925
1649739240,284.925,284.935,284.89,284.913
1649739300,284.913,284.935,284.899,284.927
1649739360,284.927,284.954,284.901,284.94
1649739420,284.94,284.968,284.884,284.888
1649739480,284.89,284.924,284.88,284.918
1649739540,284.918,284.945,284.838,284.865
1649739600,284.867,284.931,284.867,284.885
1649739660,284.888,284.926,284.869,284.926
1649739720,284.927,285.016,284.927,285.016
1649739780,285.012,285.094,285.012,285.091
1649739840,285.091,285.131,285.046,285.129
1649739900,285.131,285.171,285.122,285.164
1649739960,285.16,285.224,285.158,285.224
1649740020,285.222,285.287,285.207,285.272
1649740080,285.275,285.32,285.272,285.31
1649740140,285.311,285.32,285.251,285.273
1649740200,285.275,285.3,285.199,285.205
1649740260,285.205,285.216,285.167,285.195
1649740320,285.195,285.227,285.17,285.218
1649740380,285.216,285.241,285.204,285.205
1649740440,285.205,285.229,285.203,285.221
1649740500,285.221,285.221,285.155,285.158
1649740560,285.154,285.154,285.095,285.121
1649740620,285.121,285.172,285.121,285.125
1649740680,285.125,285.221,285.116,285.221
1649740740,285.219,285.275,285.21,285.246
1649740800,285.245,285.323,285.234,285.287
1649740860,285.287,285.359,285.275,285.354
1649740920,285.354,285.358,285.26,285.26
1649740980,285.256,285.29,285.231,285.234
1649741040,285.233,285.263,285.227,285.258
1649741100,285.256,285.334,285.25,285.303
1649741160,285.303,285.303,285.249,285.29
1649741220,285.292,285.298,285.255,285.294
1649741280,285.294,285.326,285.285,285.322
1649741340,285.319,285.364,285.291,285.359
1649741400,285.361,285.396,285.315,285.378
1649741460,285.383,285.383,285.313,285.323
1649741520,285.321,285.339,285.286,285.335
1649741580,285.333,285.337,285.296,285.321
1649741640,285.323,285.352,285.29,285.295
1649741700,285.295,285.295,285.215,285.242
1649741760,285.242,285.274,285.219,285.238
1649741820,285.238,285.247,285.173,285.206
1649741880,285.206,285.228,285.191,285.2
1649741940,285.2,285.233,285.171,285.231
1649742000,285.231,285.238,285.183,285.205
1649742060,285.208,285.213,285.158,285.168
1649742120,285.168,285.19,285.156,285.175
1649742180,285.175,285.237,285.162,285.226
1649742240,285.226,285.226,285.158,285.186
1649742300,285.183,285.203,285.139,285.139
1649742360,285.139,285.157,285.114,285.124
1649742420,285.124,285.212,285.123,285.212
1649742480,285.214,285.298,285.193,285.293
1649742540,285.293,285.335,285.274,285.283
